web-scraper-order,web-scraper-start-url,url,url-href,title,time,date,venue,image-src,price,tags
"1554997014-359","https://www.eventbrite.com/d/dc--washington/all-events/?page=31","INTERNATIONAL KITE FESTIVAL 首届美中友好国际风筝节 2019年 4月20-21日INTERNATIONAL KITE FESTIVAL 首届美中友好国际风筝节 2019年 4月20-21日","https://www.eventbrite.com/e/international-kite-festival-2019-420-21-tickets-58152302101?aff=ebdssbdestsearch","INTERNATIONAL KITE FESTIVAL 首届美中友好国际风筝节 2019年 4月20-21日","Sun, Apr 21, 2019, 8:00 PM EDT","Sat, Apr 20, 2019, 1:00 PM –","2 15th Street NW
									Washington, DC DC 20024 
									United States 
								
									View Map
									View Map","","$118 – $168","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Festival""},{""tags"":""Community""}]"
"1554997948-525","https://www.eventbrite.com/d/dc--washington/all-events/?page=23","District 29 Toastmasters 2019 Spring ConferenceDistrict 29 Toastmasters 2019 Spring Conference","https://www.eventbrite.com/e/district-29-toastmasters-2019-spring-conference-registration-57954180514?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""}]"
"1554997827-502","https://www.eventbrite.com/d/dc--washington/all-events/?page=24","Lost Credit Fashion Show & Saint Yves After PartyLost Credit Fashion Show & Saint Yves After Party","https://www.eventbrite.com/e/lost-credit-fashion-show-saint-yves-after-party-tickets-55439425815?aff=ebdssbdestsearch","Lost Credit Fashion Show & Saint Yves After Party","6:00 PM – 10:00 PM EDT","Sat, April 13, 2019","Saint Yves
									1220 Connecticut Avenue Northwest 
									Washington, DC 20036 
									United States 
								
									View Map
									View Map","","$20 – $40","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Other""},{""tags"":""Fashion""}]"
"1554996757-316","https://www.eventbrite.com/d/dc--washington/all-events/?page=33","Current Challenges for the Intelligence CommunityCurrent Challenges for the Intelligence Community","https://www.eventbrite.com/e/current-challenges-for-the-intelligence-community-tickets-58579358438?aff=ebdssbdestsearch","Current Challenges for the Intelligence Community","4:00 PM – 5:00 PM EDT","Tue, April 16, 2019","The Institute of World Politics
									1521 16th Street Northwest 
									Washington, DC 20036 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Seminar""},{""tags"":""Government""}]"
"1554984567-189","https://www.eventbrite.com/d/dc--washington/all-events/?page=40","SAINT SATURDAYS at ST. YVES | Hip-Hop & Top40SAINT SATURDAYS at ST. YVES | Hip-Hop & Top40","https://www.eventbrite.com/e/saint-saturdays-at-st-yves-hip-hop-top40-tickets-47592741170?aff=ebdssbdestsearch","SAINT SATURDAYS at ST. YVES | Hip-Hop & Top40","Sun, Apr 14, 2019, 3:00 AM EDT","Sat, Apr 13, 2019, 10:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554996794-323","https://www.eventbrite.com/d/dc--washington/all-events/?page=33","Camp United Nations for Girls Teen DC 2019Camp United Nations for Girls Teen DC 2019","https://www.eventbrite.com/e/camp-united-nations-for-girls-teen-dc-2019-tickets-46952485147?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""},{""tags"":""Kimberly Mitchem-Rasmussen, she is also the Founder of the""},{""tags"":""Political Institute for Women.""}]"
"1554988897-292","https://www.eventbrite.com/d/dc--washington/all-events/?page=35","Hippo Hacks 2019 - GWU Data & Analytics HackathonHippo Hacks 2019 - GWU Data & Analytics Hackathon","https://www.eventbrite.com/e/hippo-hacks-2019-gwu-data-analytics-hackathon-tickets-59205114090?aff=ebdssbdestsearch","Hippo Hacks 2019 - GWU Data & Analytics Hackathon","Sat, Apr 13, 2019, 10:00 AM EDT","Fri, Apr 12, 2019, 6:00 PM –","Gelman Library
									2130 H Street Northwest 
									STEMWorks Room 201 
									Washington, DC 20052 
									United States 
								
									View Map
									View Map","","$0 – $20","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Game""},{""tags"":""Science & Tech""}]"
"1554997033-362","https://www.eventbrite.com/d/dc--washington/all-events/?page=31","2019 BRAIN Investigators Meeting- Science Communication Workshops2019 BRAIN Investigators Meeting- Science Communication Workshops","https://www.eventbrite.com/e/2019-brain-investigators-meeting-science-communication-workshops-tickets-55699258983?aff=ebdssbdestsearch","2019 BRAIN Investigators Meeting- Science Communication Workshops","Sat, Apr 13, 2019, 11:30 AM EDT","Thu, Apr 11, 2019, 10:30 AM –","Marriott Wardman Park Woodley
									2660 Woodley Road Northwest 
									Washington, DC 20008 
									United States","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Class""},{""tags"":""Other""}]"
"1554984240-181","https://www.eventbrite.com/d/dc--washington/all-events/?page=40","Volunteer Community Tree Planting: University of the District of Columbia Pt. 1Volunteer Community Tree Planting: University of the District of Columbia P...","https://www.eventbrite.com/e/volunteer-community-tree-planting-university-of-the-district-of-columbia-pt-1-registration-55764952474?aff=ebdssbdestsearch","Volunteer Community Tree Planting: University of the District of Columbia P...","9:00 AM – 12:00 PM EDT","Sat, April 20, 2019","University of the District of Columbia
									4200 Connecticut Ave NW 
									Washington, DC 20008 
									United States","","Donation","[{""tags"":""consent form""},{""tags"":""consent form""},{""tags"":""Things to do in Washington, DC""},{""tags"":""Travel & Outdoor""}]"
"1554997211-394","https://www.eventbrite.com/d/dc--washington/all-events/?page=30","Closing the Loop on the Plastics DilemmaClosing the Loop on the Plastics Dilemma","https://www.eventbrite.com/e/closing-the-loop-on-the-plastics-dilemma-tickets-58855282735?aff=ebdssbdestsearch","Closing the Loop on the Plastics Dilemma","Fri, May 10, 2019, 12:00 PM EDT","Thu, May 9, 2019, 8:30 AM –","Keck Center
									500 5th Street Northwest 
									Washington, DC 20001 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""}]"
"1554981312-99","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","Community Cannabis Forum: Legalization, Wellness & Career OpportunitiesCommunity Cannabis Forum: Legalization, Wellness & Career Opportunities","https://www.eventbrite.com/e/community-cannabis-forum-legalization-wellness-career-opportunities-tickets-59536674797?aff=ebdssbdestsearch","Community Cannabis Forum: Legalization, Wellness & Career Opportunities","6:30 PM – 8:30 PM EDT","Tue, April 16, 2019","Busboys and Poets
									2004 Martin Luther King Jr Ave SE 
									Washington, DC 20020 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Seminar""},{""tags"":""Community""}]"
"1554984486-187","https://www.eventbrite.com/d/dc--washington/all-events/?page=40","Opera Fridays Opera Fridays","https://www.eventbrite.com/e/opera-fridays-tickets-53758367725?aff=ebdssbdestsearch","Opera Fridays","Sat, Apr 13, 2019, 3:00 AM EDT","Fri, Apr 12, 2019, 10:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554997049-365","https://www.eventbrite.com/d/dc--washington/all-events/?page=31","Joy Club Tuesday - Cloak & DaggerJoy Club Tuesday - Cloak & Dagger","https://www.eventbrite.com/e/joy-club-tuesday-cloak-dagger-tickets-54268884695?aff=ebdssbdestsearch","Joy Club Tuesday - Cloak & Dagger","Wed, Apr 17, 2019, 2:00 AM EDT","Tue, Apr 16, 2019, 9:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554983954-175","https://www.eventbrite.com/d/dc--washington/all-events/?page=41","Breakfast with the Easter BunnyBreakfast with the Easter Bunny","https://www.eventbrite.com/e/breakfast-with-the-easter-bunny-tickets-55600024169?aff=ebdssbdestsearch","Breakfast with the Easter Bunny","10:00 AM – 12:00 PM EDT","Sat, April 13, 2019","Maggiano's Little Italy Chevy Chase
									5333 Wisconsin Avenue Northwest 
									Washington, DC 20015 
									United States 
								
									View Map
									View Map","","$20 – $25","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""}]"
"1554999133-758","https://www.eventbrite.com/d/dc--washington/all-events/?page=11","Cherry Blossom 5k Fun RunCherry Blossom 5k Fun Run","https://www.eventbrite.com/e/cherry-blossom-5k-fun-run-tickets-58740937726?aff=ebdssbdestsearch","Cherry Blossom 5k Fun Run","9:00 AM – 11:00 AM EDT","Sun, April 14, 2019","United States National Arboretum
									3501 New York Avenue Northeast 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","$25 – $200","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Race""},{""tags"":""Charity & Causes""}]"
"1554999431-820","https://www.eventbrite.com/d/dc--washington/all-events/?page=8","2019 Georgetown House Tour + Parish Tea2019 Georgetown House Tour + Parish Tea","https://www.eventbrite.com/e/2019-georgetown-house-tour-parish-tea-tickets-56015993344?aff=ebdssbdestsearch","2019 Georgetown House Tour + Parish Tea","11:00 AM – 5:00 PM EDT","Sat, April 27, 2019","St John's Episcopal Church, Georgetown
									3240 O Street Northwest 
									Washington, DC 20007 
									United States 
								
									View Map
									View Map","","$40 – $50","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Tour""},{""tags"":""Home & Lifestyle""}]"
"1554998870-703","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","Abissa 2019: A Love StoryAbissa 2019: A Love Story","https://www.eventbrite.com/e/abissa-2019-a-love-story-tickets-57280064214?aff=ebdssbdestsearch","Abissa 2019: A Love Story","6:30 PM – 9:00 PM EDT","Sat, April 13, 2019","Georgetown University McDonough School of Business
									3700 O Street NW 
									Washington, DC 20057 
									United States 
								
									View Map
									View Map","","$10 – $15","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Fashion""}]"
"1554981457-114","https://www.eventbrite.com/d/dc--washington/all-events/?page=44","Fiesta Asia Street FairFiesta Asia Street Fair","https://www.eventbrite.com/e/fiesta-asia-street-fair-tickets-59985271562?aff=ebdssbdestsearch","Fiesta Asia Street Fair","11:00 AM – 7:00 PM EDT","Sat, May 18, 2019","400 Pennsylvania Ave NW
									400 Pennsylvania Avenue Northwest 
									Washington, DC 20565 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Festival""},{""tags"":""Community""}]"
"1554980877-53","https://www.eventbrite.com/d/dc--washington/all-events/?page=47","Reception and Book Discussion with Michael Webber Reception and Book Discussion with Michael Webber","https://www.eventbrite.com/e/reception-and-book-discussion-with-michael-webber-tickets-59443576337?aff=ebdssbdestsearch","Reception and Book Discussion with Michael Webber","5:30 PM – 7:30 PM EDT","Wed, May 8, 2019","701 Pennsylvania Ave NW
									Washington, DC 20004 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""}]"
"1554999017-734","https://www.eventbrite.com/d/dc--washington/all-events/?page=13","CCW's Spring SingCCW's Spring Sing","https://www.eventbrite.com/e/ccws-spring-sing-tickets-54712004077?aff=ebdssbdestsearch","CCW's Spring Sing","6:00 PM – 8:30 PM EDT","Fri, May 10, 2019","Decatur House
									748 Jackson Place Northwest 
									Washington, DC 20006 
									United States 
								
									View Map
									View Map","","$175 – $20,000","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Gala""},{""tags"":""Music""}]"
"1554981940-130","https://www.eventbrite.com/d/dc--washington/all-events/?page=43","Tarbiyah Academy Spring Play Performance: Treasure IslandTarbiyah Academy Spring Play Performance: Treasure Island","https://www.eventbrite.com/e/tarbiyah-academy-spring-play-performance-treasure-island-tickets-59092034867?aff=ebdssbdestsearch","Tarbiyah Academy Spring Play Performance: Treasure Island","3:00 PM – 5:00 PM EDT","Sun, April 28, 2019","Walt Whitman High School
									7100 Whittier Boulevard 
									Bethesda, MD 20817 
									United States 
								
									View Map
									View Map","","$10 – $15","[{""tags"":""Things to do in Bethesda, MD""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554989385-303","https://www.eventbrite.com/d/dc--washington/all-events/?page=34","Afghanistan Night 2019Afghanistan Night 2019","https://www.eventbrite.com/e/afghanistan-night-2019-tickets-57459501917?aff=ebdssbdestsearch","Afghanistan Night 2019","5:00 PM – 11:55 PM EDT","Sat, April 20, 2019","NOVA Alexandria Campus - Schlesinger Concert Hall Auditorium
									4915 East Campus Drive 
									Alexandria, VA 22302 
									United States 
								
									View Map
									View Map","","$30","[{""tags"":""Things to do in Alexandria, VA""},{""tags"":""Performance""},{""tags"":""Charity & Causes""}]"
"1554998874-704","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","Last Poets Block Party ft. Talib Kweli, Smif n Wessun, Black Alley, & more Last Poets Block Party ft. Talib Kweli, Smif n Wessun, Black Alley, & more","https://www.eventbrite.com/e/last-poets-block-party-ft-talib-kweli-smif-n-wessun-black-alley-more-tickets-59476190888?aff=ebdssbdestsearch","Last Poets Block Party ft. Talib Kweli, Smif n Wessun, Black Alley, & more","3:00 PM – 8:00 PM EDT","Sun, May 19, 2019","Busboys and Poets
									2004 Martin Luther King Junior Avenue Southeast 
									Washington, DC 20020 
									United States 
								
									View Map
									View Map","","$25","[{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554986898-245","https://www.eventbrite.com/d/dc--washington/all-events/?page=37","Raising the Bar in Higher Ed: A Conversation on Accountability w. Sen. MurphyRaising the Bar in Higher Ed: A Conversation on Accountability w. Sen. Murp...","https://www.eventbrite.com/e/raising-the-bar-in-higher-ed-a-conversation-on-accountability-w-sen-murphy-tickets-59699967209?aff=ebdssbdestsearch","Raising the Bar in Higher Ed: A Conversation on Accountability w. Sen. Murp...","3:00 PM – 4:00 PM EDT","Thu, April 11, 2019","Columbus Club Room
									Union Station 
									50 Massachusetts Avenue, NE 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Appearance""},{""tags"":""Family & Education""}]"
"1554998098-555","https://www.eventbrite.com/d/dc--washington/all-events/?page=21","Metro DC Chapter, NCCUAA, 2019 Gala Metro DC Chapter, NCCUAA, 2019 Gala","https://www.eventbrite.com/e/metro-dc-chapter-nccuaa-2019-gala-tickets-55529902433?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""}]"
"1554984363-184","https://www.eventbrite.com/d/dc--washington/all-events/?page=40","Midsummer Dreams & Afternoon Delights: A Mendelssohn Celebration Midsummer Dreams & Afternoon Delights: A Mendelssohn Celebration","https://www.eventbrite.com/e/midsummer-dreams-afternoon-delights-a-mendelssohn-celebration-tickets-58031435586?aff=ebdssbdestsearch","Midsummer Dreams & Afternoon Delights: A Mendelssohn Celebration","3:00 PM – 6:00 PM EDT","Sun, May 5, 2019","Abramson Recital Hall
									Katzen Arts Center, American University 
									4400 Massachusetts Ave NW 
									Washington, DC 20016 
									United States 
								
									View Map
									View Map","","$150 – $250","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1555000080-957","https://www.eventbrite.com/d/dc--washington/all-events/?page=1","Slavery, The Underground Railroad & Emancipation in Washington, DC WalkSlavery, The Underground Railroad & Emancipation in Washington, DC Walk","https://www.eventbrite.com/e/slavery-the-underground-railroad-emancipation-in-washington-dc-walk-tickets-58483066426?aff=ebdssbdestsearch","Slavery, The Underground Railroad & Emancipation in Washington, DC Walk","6:00 PM – 8:00 PM EDT","Tue, April 16, 2019","African Art Museum
									950 Independence Ave SW 
									Washington, DC 20024 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Tour""},{""tags"":""Community""}]"
"1554998779-684","https://www.eventbrite.com/d/dc--washington/all-events/?page=15","CONCERT | Levine MusicCONCERT | Levine Music","https://www.eventbrite.com/e/concert-levine-music-tickets-56503525566?aff=ebdssbdestsearch","CONCERT | Levine Music","7:00 PM – 9:00 PM EDT","Thu, April 11, 2019","Austrian Cultural Forum Washington/Embassy Austria
									 3524 International Court NW 
									Washington, DC 20008 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554998610-658","https://www.eventbrite.com/d/dc--washington/all-events/?page=16","Jazz After Hours Featuring Mystical WatersJazz After Hours Featuring Mystical Waters","https://www.eventbrite.com/e/jazz-after-hours-featuring-mystical-waters-tickets-57849289783?aff=ebdssbdestsearch","Jazz After Hours Featuring Mystical Waters","6:00 PM – 8:00 PM EDT","Thu, April 11, 2019","2 Massachusetts Ave NE
									2 Massachusetts Avenue Northeast 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""}]"
"1555000049-951","https://www.eventbrite.com/d/dc--washington/all-events/?page=2","TJHSST Techstravaganza 2019TJHSST Techstravaganza 2019","https://www.eventbrite.com/e/tjhsst-techstravaganza-2019-tickets-53062310800?aff=ebdssbdestsearch","TJHSST Techstravaganza 2019","10:00 AM – 4:00 PM EDT","Sat, May 18, 2019","Thomas Jefferson High School for Science and Technology
									6560 Braddock Road 
									Alexandria, VA 22312 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Alexandria, VA""},{""tags"":""Festival""},{""tags"":""Science & Tech""}]"
"1554989506-306","https://www.eventbrite.com/d/dc--washington/all-events/?page=34","BGV Pitch DC @ The Corcoran School of the ArtsBGV Pitch DC @ The Corcoran School of the Arts","https://www.eventbrite.com/e/bgv-pitch-dc-the-corcoran-school-of-the-arts-tickets-55161436341?aff=ebdssbdestsearch","Divas Night Out","6:00 PM – 9:00 PM EDT","Sat, April 27, 2019","Divas & Dolls Fitness
									4580 Beech Road 
									Temple Hills, MD 20748 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Temple Hills, MD""},{""tags"":""Class""},{""tags"":""Other""}]"
"1554980618-35","https://www.eventbrite.com/d/dc--washington/all-events/?page=48","Volunteer Community Tree Planting: Dakota PlaygroundVolunteer Community Tree Planting: Dakota Playground","https://www.eventbrite.com/e/volunteer-community-tree-planting-dakota-playground-registration-55656118950?aff=ebdssbdestsearch","Volunteer Community Tree Planting: Dakota Playground","9:00 AM – 12:00 PM EDT","Sat, May 11, 2019","Dakota Playground
									South Dakota Ave NE & 33rd. St. NE 
									Washington, DC 20018 
									United States","","Free","[{""tags"":""consent form""},{""tags"":""consent form""},{""tags"":""Things to do in Washington, DC""},{""tags"":""Travel & Outdoor""}]"
"1554997909-518","https://www.eventbrite.com/d/dc--washington/all-events/?page=23","Shi-Queeta-Lee's DreamGirls Twisted Lip-Synched Musical Mother's DayShi-Queeta-Lee's DreamGirls Twisted Lip-Synched Musical Mother's Day","https://www.eventbrite.com/e/shi-queeta-lees-dreamgirls-twisted-lip-synched-musical-mothers-day-tickets-58621747224?aff=ebdssbdestsearch","Shi-Queeta-Lee's DreamGirls Twisted Lip-Synched Musical Mother's Day","6:00 PM – 10:00 PM EDT","Sun, May 12, 2019","Queeta's Palace @ Chateau Remix
									3439 Benning Road Northeast 
									Washington, DC 20019 
									United States 
								
									View Map
									View Map","","$0 – $45.59","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Gala""},{""tags"":""Food & Drink""}]"
"1554998505-637","https://www.eventbrite.com/d/dc--washington/all-events/?page=17","fadsadfadsad","https://www.eventbrite.com/e/fadsad-tickets-57341348517?aff=ebdssbdestsearch","fadsad","Sun, Apr 21, 2019, 3:00 AM EDT","Sat, Apr 20, 2019, 10:00 PM –","Select a different date","","","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554989143-298","https://www.eventbrite.com/d/dc--washington/all-events/?page=35","Joy Club @ Wild Days 4.20.19Joy Club @ Wild Days 4.20.19","https://www.eventbrite.com/e/joy-club-wild-days-42019-tickets-59313003791?aff=ebdssbdestsearch","Joy Club @ Wild Days 4.20.19","Sun, Apr 21, 2019, 2:00 AM EDT","Sat, Apr 20, 2019, 9:00 PM –","WILD DAYS
									1201 K Street Northwest 
									Washington, DC 20005 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554997619-462","https://www.eventbrite.com/d/dc--washington/all-events/?page=26","2019 Washington DC Career Fair2019 Washington DC Career Fair","https://www.eventbrite.com/e/2019-washington-dc-career-fair-tickets-51949763140?aff=ebdssbdestsearch","2019 Washington DC Career Fair","9:30 AM – 1:00 PM EDT","Wed, September 11, 2019","Washington, DC 20001 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""},{""tags"":""Business""}]"
"1554997977-531","https://www.eventbrite.com/d/dc--washington/all-events/?page=23","Pride Prom 2019Pride Prom 2019","https://www.eventbrite.com/e/pride-prom-2019-tickets-58953303919?aff=ebdssbdestsearch","Pride Prom 2019","6:00 PM – 9:30 PM EDT","Sat, April 27, 2019","Smith Public Trust
									3514 12th Street Northeast 
									Washington, DC 20017 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Hobbies""}]"
"1554981279-91","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","2020 Census: Race Counts2020 Census: Race Counts","https://www.eventbrite.com/e/2020-census-race-counts-tickets-56913498807?aff=ebdssbdestsearch","2020 Census: Race Counts","3:00 PM – 6:00 PM EDT","Tue, April 30, 2019","Fisher Colloquium
									Georgetown University 
									United States 
								
									View Map
									View Map","","Free","[]"
"1554997286-404","https://www.eventbrite.com/d/dc--washington/all-events/?page=29","THEATER | Lost in the Ocean WavesTHEATER | Lost in the Ocean Waves","https://www.eventbrite.com/e/theater-lost-in-the-ocean-waves-tickets-59988210352?aff=ebdssbdestsearch","THEATER | Lost in the Ocean Waves","7:30 PM – 10:30 PM EDT","Sat, April 27, 2019","Arena Stage at the Mead Center for American Theater
									1101 6th Street Southwest 
									Washington, DC 20024 
									United States 
								
									View Map
									View Map","","$35 – $1,000","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Arts""}]"
